00:40:63:DB:24:97
00:1E:C1:91:69:20
00:13:21:5B:87:8D
00:1F:E2:18:8F:2E
00:1D:72:8A:C1:D8
00:1B:78:E7:27:09
00:1F:29:22:93:34
00:11:2F:4A:2A:7A
00:1C:25:70:20:A5
00:16:D3:27:BD:FD
00:1F:16:09:56:B5
00:1A:6B:CE:E7:0A
00:0F:B0:77:51:0E
00:1E:C1:A8:14:00
00:1A:6B:CE:F3:E2
00:1C:25:12:1C:41
00:11:09:D0:59:FA
